ds,バファリン_Google検索数,ロキソニン_Google検索数,インバウンド_Google検索数,コロナ_Google検索数,インフルエンザ_Google検索数
2020-01-19,24,40.0,58.0,3,72.0
2020-01-26,23,43.0,94.0,13,76.0
2020-02-02,21,40.0,87.0,9,68.0
2020-02-09,23,38.0,60.0,10,56.0
2020-02-16,23,41.0,83.0,19,60.0
2020-02-23,26,43.0,100.0,40,62.0
2020-03-01,22,36.0,100.0,37,40.0
2020-03-08,19,38.0,79.0,35,30.0
2020-03-15,42,58.0,55.0,28,17.0
2020-03-22,28,39.0,45.0,38,18.0
2020-03-29,32,43.0,52.0,73,26.0
2020-04-05,34,50.0,41.0,100,25.0
2020-04-12,32,46.0,37.0,93,18.0
2020-04-19,25,44.0,41.0,75,15.0
2020-04-26,24,43.0,44.0,51,11.0
2020-05-03,25,43.0,30.0,44,9.0
2020-05-10,22,41.0,52.0,32,9.0
2020-05-17,20,39.0,72.0,25,7.0
2020-05-24,21,36.0,91.0,24,7.0
2020-05-31,22,37.0,62.0,21,6.0
2020-06-07,19,38.0,42.0,17,4.0
2020-06-14,21,38.0,56.0,17,4.0
2020-06-21,20,37.0,54.0,17,7.0
2020-06-28,21,38.0,34.0,25,11.0
2020-07-05,19,38.0,31.0,28,5.0
2020-07-12,21,37.0,38.0,37,6.0
2020-07-19,19,37.0,37.0,41,7.0
2020-07-26,23,38.0,40.0,55,8.0
2020-08-02,27,37.0,36.0,48,8.0
2020-08-09,24,37.0,26.0,35,6.0
2020-08-16,23,39.0,31.0,30,7.0
2020-08-23,22,39.0,22.0,25,10.0
2020-08-30,24,42.0,31.0,19,12.0
2020-09-06,23,40.0,31.0,17,15.0
2020-09-13,22,40.0,31.0,16,23.0
2020-09-20,25,39.0,55.0,13,25.0
2020-09-27,24,39.0,48.0,14,60.0
2020-10-04,23,40.0,29.0,13,50.0
2020-10-11,22,39.0,28.0,13,47.0
2020-10-18,22,36.0,27.0,13,54.0
2020-10-25,24,41.0,24.0,14,76.0
2020-11-01,19,38.0,21.0,15,62.0
2020-11-08,24,38.0,28.0,24,75.0
2020-11-15,24,41.0,32.0,30,63.0
2020-11-22,20,38.0,21.0,29,50.0
2020-11-29,22,36.0,30.0,29,42.0
2020-12-06,23,40.0,24.0,32,36.0
2020-12-13,22,40.0,21.0,31,27.0
2020-12-20,20,35.0,25.0,32,20.0
2020-12-27,20,37.0,12.0,31,12.0
2021-01-03,21,38.0,19.0,44,18.0
2021-01-10,22,38.0,19.0,39,16.0
2021-01-17,20,39.0,30.0,34,14.0
2021-01-24,20,39.0,22.0,27,11.0
2021-01-31,20,40.0,20.0,24,12.0
2021-02-07,20,40.0,17.0,18,10.0
2021-02-14,22,42.0,21.0,17,8.0
2021-02-21,24,42.0,18.0,14,7.0
2021-02-28,26,40.0,21.0,14,5.0
2021-03-07,25,41.0,19.0,14,5.0
2021-03-14,26,40.0,19.0,14,5.0
2021-03-21,22,39.0,26.0,16,4.0
2021-03-28,21,38.0,18.0,19,4.0
2021-04-04,21,41.0,17.0,24,4.0
2021-04-11,22,42.0,19.0,27,5.0
2021-04-18,25,47.0,18.0,33,5.0
2021-04-25,28,44.0,14.0,32,6.0
2021-05-02,27,46.0,12.0,33,5.0
2021-05-09,34,56.0,19.0,39,6.0
2021-05-16,31,52.0,17.0,32,6.0
2021-05-23,32,53.0,22.0,28,5.0
2021-05-30,36,54.0,17.0,23,5.0
2021-06-06,39,63.0,18.0,20,5.0
2021-06-13,51,65.0,19.0,20,5.0
2021-06-20,61,67.0,23.0,19,5.0
2021-06-27,62,67.0,17.0,20,4.0
2021-07-04,55,64.0,21.0,19,5.0
2021-07-11,53,64.0,17.0,22,5.0
2021-07-18,53,60.0,14.0,21,4.0
2021-07-25,74,85.0,14.0,32,5.0
2021-08-01,94,99.0,14.0,38,6.0
2021-08-08,76,86.0,10.0,38,6.0
2021-08-15,96,100.0,12.0,46,8.0
2021-08-22,100,92.0,17.0,44,8.0
2021-08-29,81,85.0,14.0,37,9.0
2021-09-05,75,76.0,15.0,29,10.0
2021-09-12,64,71.0,12.0,21,12.0
2021-09-19,54,72.0,16.0,19,12.0
2021-09-26,56,74.0,16.0,17,25.0
2021-10-03,56,70.0,13.0,15,32.0
2021-10-10,46,62.0,15.0,14,39.0
2021-10-17,38,56.0,18.0,12,46.0
2021-10-24,36,49.0,18.0,11,43.0
2021-10-31,31,45.0,18.0,11,43.0
2021-11-07,28,44.0,25.0,9,51.0
2021-11-14,25,40.0,20.0,9,43.0
2021-11-21,27,39.0,25.0,8,32.0
2021-11-28,21,40.0,15.0,9,29.0
2021-12-05,23,40.0,16.0,7,25.0
2021-12-12,23,39.0,15.0,7,17.0
2021-12-19,23,38.0,11.0,9,14.0
2021-12-26,22,36.0,8.0,9,7.0
2022-01-02,25,42.0,15.0,19,11.0
2022-01-09,29,45.0,14.0,28,11.0
2022-01-16,30,47.0,17.0,35,14.0
2022-01-23,30,54.0,18.0,37,12.0
2022-01-30,34,55.0,17.0,34,11.0
2022-02-06,33,54.0,13.0,26,8.0
2022-02-13,32,58.0,16.0,23,7.0
2022-02-20,35,56.0,14.0,20,6.0
2022-02-27,34,60.0,13.0,18,4.0
2022-03-06,45,61.0,12.0,16,4.0
2022-03-13,38,61.0,14.0,15,3.0
2022-03-20,40,60.0,16.0,13,3.0
2022-03-27,37,60.0,20.0,13,3.0
2022-04-03,31,57.0,16.0,13,3.0
2022-04-10,37,59.0,19.0,13,4.0
2022-04-17,39,59.0,18.0,13,4.0
2022-04-24,35,56.0,21.0,11,3.0
2022-05-01,29,53.0,37.0,10,2.0
2022-05-08,32,58.0,30.0,12,3.0
2022-05-15,33,56.0,43.0,10,2.0
2022-05-22,28,55.0,49.0,9,2.0
2022-05-29,40,51.0,45.0,8,2.0
2022-06-05,30,49.0,51.0,7,2.0
2022-06-12,29,49.0,52.0,7,2.0
2022-06-19,27,50.0,37.0,7,4.0
2022-06-26,28,47.0,30.0,7,3.0
2022-07-03,27,47.0,28.0,11,3.0
2022-07-10,32,56.0,24.0,18,4.0
2022-07-17,42,81.0,22.0,29,6.0
2022-07-24,56,83.0,22.0,30,7.0
2022-07-31,50,86.0,22.0,27,6.0
2022-08-07,49,83.0,18.0,24,4.0
2022-08-14,49,81.0,18.0,23,5.0
2022-08-21,44,76.0,25.0,22,5.0
2022-08-28,40,60.0,26.0,16,5.0
2022-09-04,32,59.0,30.0,14,6.0
2022-09-11,30,48.0,45.0,12,8.0
2022-09-18,30,53.0,31.0,8,9.0
2022-09-25,30,57.0,43.0,8,16.0
2022-10-02,28,48.0,46.0,7,28.0
2022-10-09,29,52.0,83.0,7,34.0
2022-10-16,31,52.0,67.0,8,38.0
2022-10-23,32,59.0,47.0,8,41.0
2022-10-30,33,57.0,30.0,9,40.0
2022-11-06,33,60.0,33.0,10,47.0
2022-11-13,40,61.0,33.0,12,48.0
2022-11-20,34,54.0,31.0,11,37.0
2022-11-27,33,62.0,30.0,10,33.0
2022-12-04,35,61.0,28.0,11,28.0
2022-12-11,36,64.0,28.0,12,26.0
2022-12-18,45,69.0,28.0,13,32.0
2022-12-25,46,73.0,26.0,13,31.0
2023-01-01,48,74.0,43.0,13,44.0
2023-01-08,44,85.0,39.0,12,55.0
2023-01-15,35,61.0,41.0,9,49.0
2023-01-22,31,53.0,42.0,7,35.0
2023-01-29,30,54.0,36.0,5,42.0
2023-02-05,28,52.0,39.0,5,41.0
2023-02-12,28,53.0,44.0,4,38.0
2023-02-19,30,51.0,37.0,4,33.0
2023-02-26,28,53.0,33.0,4,31.0
2023-03-05,29,54.0,35.0,4,29.0
2023-03-12,27,53.0,31.0,3,24.0
2023-03-19,28,52.0,27.0,3,18.0
2023-03-26,27,52.0,38.0,3,15.0
2023-04-02,29,52.0,67.0,3,10.0
2023-04-09,26,53.0,71.0,3,9.0
2023-04-16,28,53.0,54.0,3,9.0
2023-04-23,29,55.0,69.0,4,10.0
2023-04-30,31,55.0,49.0,4,9.0
2023-05-07,34,62.0,47.0,4,9.0
2023-05-14,31,59.0,47.0,3,14.0
2023-05-21,32,59.0,44.0,3,13.0
2023-05-28,30,60.0,42.0,3,11.0
2023-06-04,32,68.0,38.0,3,11.0
2023-06-11,33,64.0,41.0,3,10.0
2023-06-18,32,60.0,41.0,3,8.0
2023-06-25,31,61.0,46.0,3,8.0
2023-07-02,35,61.0,46.0,4,7.0
2023-07-09,33,62.0,48.0,4,8.0
2023-07-16,34,65.0,46.0,4,8.0
2023-07-23,31,62.0,43.0,5,8.0
2023-07-30,35,67.0,40.0,5,7.0
2023-08-06,41,68.0,54.0,5,6.0
2023-08-13,41,71.0,65.0,5,7.0
2023-08-20,33,70.0,53.0,5,8.0
2023-08-27,36,71.0,54.0,5,11.0
2023-09-03,35,70.0,44.0,5,19.0
2023-09-10,36,68.0,42.0,5,34.0
2023-09-17,35,68.0,48.0,4,47.0
2023-09-24,32,65.0,52.0,4,58.0
2023-10-01,31,60.0,47.0,3,60.0
2023-10-08,31,60.0,43.0,2,63.0
2023-10-15,31,61.0,50.0,2,75.0
2023-10-22,33,64.0,40.0,2,87.0
2023-10-29,34,65.0,43.0,2,87.0
2023-11-05,33,63.0,44.0,2,86.0
2023-11-12,32,61.0,52.0,2,80.0
2023-11-19,35,62.0,39.0,2,85.0
2023-11-26,35,64.0,45.0,2,88.0
2023-12-03,32,67.0,38.0,2,95.0
2023-12-10,33,69.0,48.0,2,91.0
2023-12-17,33,66.0,44.0,2,68.0
2023-12-24,36,69.0,39.0,2,64.0
2023-12-31,40,79.0,32.0,2,50.0
2024-01-07,39,70.0,42.0,3,51.0
2024-01-14,31,61.0,47.0,3,46.0
2024-01-21,31,62.0,44.0,3,43.0
2024-01-28,30,59.0,58.0,3,45.0
2024-02-04,30,62.0,62.0,3,45.0
2024-02-11,32,63.0,64.0,2,41.0
2024-02-18,31,59.0,56.0,2,33.0
2024-02-25,30,55.0,53.0,2,28.0
2024-03-03,31,54.0,72.0,2,26.0
2024-03-10,31,56.0,59.0,2,28.0
2024-03-17,32,58.0,60.0,1,25.0
